AllianceID,StateID,StartDate,EndDate
1,200,1816-01-01,
1,235,1816-01-01,
2,200,1816-01-01,1911-02-15
2,380,1816-01-01,1911-02-15
3,240,1838-01-01,1848-03-15
3,240,1850-11-29,1866-06-15
3,245,1816-01-01,1848-03-15
3,245,1850-11-29,1866-06-15
3,255,1816-01-01,1848-03-15
3,255,1850-11-29,1866-06-15
3,267,1816-01-01,1848-03-15
3,267,1850-11-29,1866-06-15
3,269,1816-01-01,1848-03-15
3,269,1850-11-29,1866-06-15
3,271,1816-01-01,1848-03-15
3,271,1850-11-29,1866-06-15
3,273,1816-01-01,1848-03-15
3,273,1850-11-29,1866-06-15
3,275,1816-01-01,1848-03-15
3,275,1850-11-29,1866-06-15
3,280,1843-01-01,1848-03-15
3,280,1850-11-29,1866-06-15
3,300,1816-01-01,1848-03-15
3,300,1850-11-29,1866-06-15
4,300,1816-01-01,1820-07-13
4,329,1816-01-01,1820-07-13
5,300,1816-01-01,1848-03-29
5,337,1816-01-01,1848-03-29
6,200,1816-01-01,1822-10-31
6,255,1816-01-01,1822-10-31
6,300,1816-01-01,1822-10-31
6,365,1816-01-01,1822-10-31
7,210,1816-08-10,1820-03-15
7,230,1816-08-10,1820-03-15
8,200,1827-07-06,1829-09-14
8,220,1827-07-06,1829-09-14
8,365,1827-07-06,1829-09-14
9,300,1831-07-23,1848-03-24
9,325,1831-07-23,1848-03-24
10,200,1832-10-22,1833-05-21
10,220,1832-10-22,1833-05-21
11,211,1832-11-10,1833-05-21
11,220,1832-11-10,1833-05-21
12,255,1833-03-09,1839-04-19
12,300,1833-03-09,1839-04-19
12,365,1833-03-09,1839-04-19
13,325,1833-03-28,1848-01-12
13,329,1833-03-28,1848-01-12
14,365,1833-07-08,1841-07-13
14,640,1833-07-08,1841-07-13
15,255,1833-10-15,1853-07-02
15,300,1833-09-18,1853-07-02
15,365,1833-09-18,1853-07-02
16,300,1833-09-19,1853-07-02
16,365,1833-09-19,1853-07-02
17,255,1833-10-15,1848-03-21
17,300,1833-10-15,1848-03-21
17,365,1833-10-15,1848-03-21
18,255,1833-10-16,1848-03-21
18,365,1833-10-16,1848-03-21
19,200,1834-04-22,1839-08-31
19,220,1834-04-22,1839-08-31
19,230,1834-04-22,1839-08-31
19,235,1834-04-22,1839-08-31
20,200,1840-07-15,1840-11-27
20,255,1840-07-15,1840-11-27
20,300,1840-07-15,1840-11-27
20,365,1840-07-15,1840-11-27
20,640,1840-07-15,1840-11-27
21,200,1844-05-22,1846-06-29
21,365,1844-05-22,1846-06-29
22,200,1847-05-21,1847-08-15
22,220,1847-05-21,1847-08-15
22,230,1847-05-21,1847-08-15
22,235,1847-05-21,1847-08-15
23,300,1847-12-24,1859-05-15
