igoID,igoAbbr,igoShortName,igoLongName,StartYear,EndYear,EndReason,Notes
370,AAAID,Arab Auth. for Ag. Invest. & Development,Arab Authority for Agricultural Investment and Development (AAAID),1976.0,,,
305,AAB,Alliance Against Biopiracy,Alliance Against Biopiracy,2002.0,,,www.rainforestcoalition.org;  http://www.s-cica.org/page.php?page_id=7&lang=1;  http://www.cbfp.org/;  http://www.ghsi.ca/english/index.asp; 
690,AACB,Assoc. of African Central Banks,Association of African Central Banks (AACB),1968.0,,,
350,AACarib,Anglo-Am Caribbean Comm,Anglo-American Caribbean Commission,1942.0,1946.0,replaced,
630,AALCO,Asian-African Legal Consultative Org,Asian-African Legal Consultative Committee,1956.0,,,
230,AARO,Afro-Asian Rural Development Org,Afro-Asian Rural Reconstruction Organization,1962.0,,,
700,AATA,Assoc. of African Tax Administrators,Association of African Tax Administrators (AATA),1987.0,,,
710,AATPO,Assoc. of Afr. Trade Promotion Orgs.,Association of African Trade Promotion Organizations (AATPO),1974.0,,,
380,ABEDA,Arab Bank for Econ. Dev. in Africa,Arab Bank for Economic Development in Africa,1974.0,,,
680,ABEPSEAC,Assoc. B/t EEC and States of East Afr. Community,Association between the European Economic Community and the Partner States of th,1968.0,1975.0,replaced,
400,ACC,Arab Cooperation Council,Arab Cooperation Council (ACC),1989.0,1990.0,,
270,ACCT,Francophone Agency,Agence de La Francophonie (ACCT),1970.0,2005.0,replaced,
320,ACDT,Am Cmte Dependent Territories,American Committee on Dependent Territories,1940.0,1956.0,,
60,ACI,Afr. Cultural Institute,African Cultural Institute (ACI)/African and Maritanian Cultual Institute,1971.0,1971.0,,
390,ACML,Arab Center for Medical Lit.,Arab Centre for Medical Literature (ACML),1983.0,2000.0,,
220,ACP,ACP Group,"African, Caribbean and Pacific Group of States (ACP Group)",1975.0,,,
10,ACPEU,ACP/EU Joint Assembly,ACP-EU Joint Assembly,1984.0,,,
720,ACS,Association of Caribbean States,Association of Caribbean States (ACS),1994.0,,,
50,ACSO,African Civil Service Observatory,African Civil Service Observatory (ACSO),1991.0,,,
20,ACSSRB,Administrative Center for Soc Security for Rhine Boatmen,Adminstrative Center for Social Security for Rhine Boatmen,1950.0,,,
570,ACU,Asian Clearing Union,Asian Clearing Union (ACU),1974.0,,,
25,ACWL,Advisory Centre on WTO Law,Advisory Centre on WTO Law (ACWL),2001.0,,,"http://www.africa-union.org/;  http://www.pftac.org/AFSPC?index.htm;  http://www.boip.int/;  http://www.iter.org/;  http://www.acwl.ch/;   [Per org's website (accessed 3/12/08), 20 LDCs and 9 MDCs became members by signing initial agreement. Later, 7 LCDs and 1 MDC became members via accession: Jordan (2002), Oman (2003), Mauritius (2003), Turkey (2003), El Salvador (2004), Indo"
420,AFESD,Arab Fund for Social/Economic Development,Arab Fund for Economic and Social Development (AFESD),1968.0,,,
80,AFEXIMB,Afr. Exp/Import Bank,African Export Import Bank (Afreximbank),1993.0,,,
100,AFGEC,Afr. Fund Guarantee & Econ. Coop.,African Fund for Guarantee and Economic Cooperation,1977.0,,,
160,AFPU,African Postal Union,African Postal Union,1961.0,,,
90,AFRAND,Afr. Foundation for R & D,African Foundation for Research and Development (AFRAND),1994.0,,,
725,AFSPC,Association of Financial Supervisors of Pacific Countries,Association of Financial Supervisors of Pacific Countries (AFSPC),2002.0,,,http://www.icc-cpi.int/home.html&l=en;  http://www.2ie-edu.org/;  http://www.marri-rc.org/;  http://www.acdi-cida.gc.ca/CIDAWEB/acdicida.nsf/En/JUD-5292536-HRK; 
410,AFTE,Arab Federation for Technical Educ.,Arab Federation for Technical Education (AFTE),1980.0,,,
110,AGC,African Groundnut Council,African Groundnut Council,1964.0,,,
