igoID,StateID,JoinYear,LeaveYear
AAAID,625,1985,2005
AAAID,698,1994,2005
AAAID,645,1985,2005
AAAID,651,1985,2005
AAAID,435,1985,2005
AAAID,670,1985,2005
AAAID,581,2005,2005
AAAID,663,1994,2005
AAAID,615,1985,2005
AAAID,679,2005,2005
AAAID,616,1993,2005
AAAID,652,1985,2005
AAAID,696,1985,2005
AAAID,694,1985,2005
AAAID,690,1985,2005
AAAID,600,1994,2005
AAAID,520,1985,2005
AAB,501,2002,2005
AAB,70,2002,2005
AAB,130,2002,2005
AAB,140,2002,2005
AAB,94,2002,2005
AAB,135,2002,2005
AAB,100,2002,2005
AAB,710,2002,2005
AAB,101,2002,2005
AAB,850,2002,2005
AAB,750,2002,2005
AAB,560,2002,2005
AACB,500,1977,2001
AACB,516,1977,2001
AACB,439,1992,2001
AACB,501,1977,2001
AACB,553,1977,2001
AACB,436,1990,2001
AACB,625,1977,2001
AACB,402,1989,2001
AACB,551,1977,1988
AACB,551,2001,2001
AACB,438,1989,2001
AACB,651,2001,2001
AACB,411,1990,2001
AACB,435,1989,2001
AACB,570,1989,2001
AACB,437,1990,2001
AACB,475,1977,2001
AACB,451,1977,2001
AACB,580,1977,2001
AACB,471,1977,1988
AACB,471,1990,2001
AACB,517,1977,2001
AACB,483,1990,2001
AACB,433,1990,2001
AACB,522,1977,2000
AACB,510,1977,2001
AACB,615,1977,2001
AACB,490,1977,2001
AACB,541,1992,2001
AACB,565,1999,2001
AACB,616,1977,2001
AACB,530,1977,2001
AACB,420,1977,2001
AACB,590,1977,2001
AACB,484,1990,2001
AACB,482,1990,2001
AACB,461,1990,2001
AACB,620,1977,2001
AACB,571,1989,2001
AACB,432,1977,1988
AACB,452,1977,2001
AACB,481,1990,2001
AACB,572,1989,2001
AACB,600,1977,2001
AACB,434,1990,2001
AACB,520,1977,2001
AACB,450,1989,2001
AACB,552,1989,2001
AACB,404,1989,2001
AACarib,2,1945,1945
AACarib,220,1945,1945
AACarib,210,1945,1945
AACarib,200,1945,1945
AALCO,771,1974,2005
AALCO,500,1979,2005
AALCO,692,1993,2005
AALCO,501,1970,2005
AALCO,830,1970,2005
AALCO,660,1999,2005
AALCO,625,1986,2005
AALCO,698,1976,2005
AALCO,645,1960,1960
AALCO,645,1965,2005
AALCO,800,1960,1960
AALCO,800,1965,2005
AALCO,820,1970,2005
AALCO,651,1960,1960
AALCO,651,1965,2005
AALCO,710,1983,2005
AALCO,475,1970,2005
AALCO,640,1975,2005
AALCO,451,1969,2005
AALCO,680,1976,1990
AALCO,835,2003,2005
AALCO,670,1975,2005
AALCO,433,1980,2005
AALCO,663,1968,2005
AALCO,510,1973,2005
AALCO,679,1990,2005
AALCO,850,1960,1960
AALCO,850,1965,2005
AALCO,775,1960,1960
AALCO,775,1965,2005
AALCO,732,1970,2005
AALCO,630,1970,2005
AALCO,420,1974,2005
AALCO,750,1960,1960
AALCO,750,1965,2005
AALCO,770,1960,1960
AALCO,770,1965,2005
AALCO,590,1972,2005
AALCO,652,1970,2005
AALCO,740,1960,1960
AALCO,740,1965,2005
AALCO,840,1969,2005
AALCO,780,1960,1960
AALCO,780,1965,2005
AALCO,696,1976,2005
AALCO,620,1976,2005
AALCO,694,1976,2005
AALCO,731,1974,2005
AALCO,690,1970,2005
AALCO,571,1974,2005
AALCO,790,1971,2005
AALCO,352,1980,2005
AALCO,452,1965,2005
AALCO,600,1960,1960
AALCO,560,2004,2005
AALCO,520,1976,2005
AALCO,712,1980,2005
AARO,771,1994,2005
AARO,501,1965,2005
AARO,660,1965,2005
AARO,698,1979,2005
AARO,645,1965,2005
AARO,551,1992,2005
AARO,820,1965,2005
AARO,651,1965,2005
AARO,475,1999,2005
AARO,678,1975,1990
AARO,663,1965,2005
AARO,679,1990,2005
AARO,732,1965,2005
AARO,530,1967,2005
AARO,750,1965,2005
AARO,770,1997,2005
AARO,590,1974,2005
AARO,652,1965,2005
AARO,840,1968,2005
AARO,620,1965,2005
AARO,452,1965,2005
AARO,600,1965,2005
AARO,450,1971,2005
AATA,500,1987,2005
AATA,439,1987,2005
AATA,436,1987,2005
AATA,551,1987,2005
AATA,651,1987,2005
AATA,475,1987,2005
AATA,471,1987,2005
AATA,433,1987,1994
AATA,581,1987,2005
AATA,615,1987,2005
AATA,490,1987,2005
AATA,616,1987,2005
AATA,530,1987,2005
AATA,420,1987,2005
AATA,482,1987,1994
AATA,461,1987,2005
AATA,571,1987,1994
AATA,432,1987,2005
AATA,481,1995,2005
AATA,572,1987,1994
AATA,434,1987,2005
AATA,450,1987,2005
AATPO,500,1981,1989
AATPO,500,1991,2001
AATPO,516,1981,1987
AATPO,516,1991,2002
AATPO,439,1981,1987
AATPO,439,1990,2002
AATPO,501,1981,1989
AATPO,436,1984,1989
AATPO,436,2001,2002
AATPO,625,1981,2000
AATPO,551,1981,1989
AATPO,551,1991,2002
AATPO,651,1981,1989
AATPO,651,2001,2002
AATPO,475,1981,2002
AATPO,471,1981,2002
AATPO,517,1981,1989
AATPO,517,2001,2002
AATPO,433,1981,1989
AATPO,433,2001,2002
AATPO,615,1981,2002
AATPO,490,1981,1996
AATPO,616,1981,1990
AATPO,530,1981,1989
AATPO,530,2001,2002
AATPO,482,1981,1989
AATPO,482,2001,2002
AATPO,461,1981,1996
AATPO,620,1981,2002
AATPO,432,1981,2002
AATPO,452,1981,2002
AATPO,481,1981,2002
AATPO,572,1981,1990
AATPO,600,1981,2002
AATPO,434,2001,2002
AATPO,520,1981,2001
AATPO,450,1981,2002
ABEDA,692,1974,2005
ABEDA,660,1974,2005
ABEDA,625,1974,2005
ABEDA,698,1974,2005
ABEDA,645,1974,2005
ABEDA,651,1974,1977
ABEDA,651,1994,2005
ABEDA,435,1974,2005
ABEDA,670,1974,2005
ABEDA,663,1974,2005
ABEDA,615,1974,2005
ABEDA,616,1974,2005
ABEDA,652,1974,2005
ABEDA,812,2000,2005
ABEDA,696,1974,2005
ABEDA,620,1974,2005
ABEDA,694,1974,2005
ABEDA,690,1974,2005
ABEDA,600,1974,2005
ABEPSEAC,500,1968,1975
ABEPSEAC,325,1968,1975
ABEPSEAC,501,1968,1975
ABEPSEAC,390,1973,1975
ABEPSEAC,220,1968,1975
ABEPSEAC,210,1968,1975
ABEPSEAC,510,1968,1975
ABEPSEAC,260,1968,1975
ABEPSEAC,200,1973,1975
ABEPSEAC,212,1968,1975
ABEPSEAC,205,1973,1975
ABEPSEAC,211,1968,1975
ACC,645,1989,1990
ACC,651,1989,1990
ACC,663,1989,1990
ACC,679,1990,1990
ACCT,355,1993,2005
ACCT,41,1970,2005
ACCT,516,1970,2005
ACCT,439,1970,2005
ACCT,436,1970,2005
ACCT,660,1973,2005
ACCT,402,1996,2005
ACCT,935,1981,2005
ACCT,438,1971,2005
ACCT,651,1983,2005
ACCT,411,1989,2005
ACCT,817,1970,1975
ACCT,435,1980,2005
ACCT,437,1970,2005
ACCT,343,1999,2005
ACCT,403,1995,2005
ACCT,591,1976,2005
ACCT,54,1979,2005
ACCT,56,1981,2005
ACCT,220,1970,2005
ACCT,811,1993,2005
ACCT,580,1989,2005
ACCT,471,1991,2005
ACCT,517,1970,2005
ACCT,483,1970,2005
ACCT,433,1970,2005
ACCT,581,1977,2005
ACCT,522,1977,2005
ACCT,490,1977,2005
ACCT,616,1970,2005
ACCT,232,2004,2005
ACCT,350,2004,2005
ACCT,590,1970,2005
ACCT,20,1970,2005
ACCT,484,1981,2005
ACCT,482,1973,2005
ACCT,461,1970,2005
ACCT,212,1970,2005
ACCT,812,1991,2005
ACCT,221,1993,2005
ACCT,432,1970,2005
ACCT,339,1999,2005
ACCT,360,1993,2005
ACCT,481,1970,2005
ACCT,600,1981,2005
ACCT,434,1970,2005
ACCT,211,1970,2005
ACCT,359,1996,2005
ACCT,404,1974,2005
ACCT,225,1996,2005
ACDT,92,1945,1945
