StateA,StateB,StartDate,EndDate,StartYear,StartMonth,EndYear,EndMonth,Type,Notes
2,20,1920-01-01,2016-12-01,1920,01,2016,12,1,Begins with CAN system entry
2,31,1973-07-01,2016-12-01,1973,07,2016,12,4,Across Atlantic Ocean (closest=Florida-Bimini); begins with BHM system entry
2,40,1902-05-01,1906-09-01,1902,05,1906,09,4,Across Florida Straits (closest=Key West); begins with CUB system entry; ends with USA occupation of CUB
2,40,1909-01-01,2016-12-01,1909,01,2016,12,4,Across Florida Straits (closest=Key West); resumes after USA occupation of CUB ends
2,70,1831-01-01,2016-12-01,1831,01,2016,12,1,Begins with MEX system entry
2,365,1959-01-01,2016-12-01,1959,01,2016,12,2,Across Bering Strait (closest=Alaska-Siberia); becomes interstate border with Alaskan statehood
31,40,1973-07-01,2016-12-01,1973,07,2016,12,4,Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry
31,41,1973-07-01,2016-12-01,1973,07,2016,12,4,Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry
31,42,1973-07-01,2016-12-01,1973,07,2016,12,4,Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry
31,51,1973-07-01,2016-12-01,1973,07,2016,12,5,Across Windward Passage (closest=Great Inagua); begins with BHM system entry
40,41,1902-05-01,1906-09-01,1902,05,1906,09,4,Across Windward Passage; begins with CUB system entry; ends with USA occupation of CUB
40,41,1909-01-01,1915-07-01,1909,01,1915,07,4,Across Windward Passage; resumes after USA occupation of CUB ends; ends with USA occupation of HAI
40,41,1934-08-01,2016-12-01,1934,08,2016,12,4,Across Windward Passage; resumes after USA occupation of HAI ends
40,42,1902-05-01,1906-09-01,1902,05,1906,09,5,Across Windward Passage (closest=Great Inagua); begins with CUB system entry; ends with USA occupation of CUB
40,42,1909-01-01,1916-11-01,1909,01,1916,11,5,Across Windward Passage; resumes after USA occupation of CUB ends; ends with USA occupation of DOM
40,42,1924-09-01,2016-12-01,1924,09,2016,12,5,Across Windward Passage; resumes after USA occupation of DOM ends
40,51,1962-08-01,2016-12-01,1962,08,2016,12,4,Across Caribbean Sea; begins with JAM system entry
40,70,1902-05-01,1906-09-01,1902,05,1906,09,4,Across Yucatan Channel; begins with CUB system entry; ends with USA occupation of CUB
40,70,1909-01-01,2016-12-01,1909,01,2016,12,4,Across Yucatan Channel; resumes after USA occupation of CUB ends
40,80,1981-09-01,2016-12-01,1981,09,2016,12,5,Across Caribbean Sea; begins with BLZ system entry
40,91,1902-05-01,1906-09-01,1902,05,1906,09,5,Across Caribbean Sea; begins with CUB system entry; ends with USA occupation of CUB
40,91,1909-01-01,2016-12-01,1909,01,2016,12,5,Across Caribbean Sea; resumes after USA occupation of CUB ends
41,42,1894-01-01,1915-07-01,1894,01,1915,07,1,Begins with DOM system entry; ends with USA occupation of HAI
41,42,1934-08-01,2016-12-01,1934,08,2016,12,1,Resumes after USA occupation of HAI ends
41,51,1962-08-01,2016-12-01,1962,08,2016,12,4,Across Jamaica Channel; begins with JAM system entry
41,100,1859-01-01,1915-07-01,1859,01,1915,07,5,Across Caribbean Sea; begins with HAI system entry; ends with USA occupation of HAI
41,100,1934-08-01,2016-12-01,1934,08,2016,12,5,Across Caribbean Sea; resumes after USA occupation of HAI ends
42,51,1962-08-01,2016-12-01,1962,08,2016,12,5,Across Jamaica Channel/Caribbean Sea; begins with JAM system entry
42,60,1983-09-01,2016-12-01,1983,09,2016,12,5,Across Caribbean Sea; begins with SKN system entry
42,100,1894-01-01,1916-11-01,1894,01,1916,11,5,Across Caribbean Sea; begins with DOM system entry; ends with USA occupation of DOM
42,100,1924-09-01,2016-12-01,1924,09,2016,12,5,Across Caribbean Sea; resumes after USA occupation of DOM ends
42,101,1894-01-01,1916-11-01,1894,01,1916,11,5,Across Caribbean Sea; begins with DOM system entry; ends with USA occupation of DOM
42,101,1924-09-01,2016-12-01,1924,09,2016,12,5,Across Caribbean Sea; resumes after USA occupation of DOM ends
51,91,1962-08-01,2016-12-01,1962,08,2016,12,5,Across Caribbean Sea; begins with JAM system entry
51,93,1962-08-01,2016-12-01,1962,08,2016,12,5,Across Caribbean Sea; begins with JAM system entry
51,100,1962-08-01,2016-12-01,1962,08,2016,12,5,Across Caribbean Sea; begins with JAM system entry
52,53,1966-11-01,2016-12-01,1966,11,2016,12,4,Across Atlantic Ocean; begins with BAR system entry
52,55,1974-02-01,2016-12-01,1974,02,2016,12,4,Across Caribbean Sea; begins with GRN system entry
52,56,1979-02-01,2016-12-01,1979,02,2016,12,5,Across Caribbean Sea; begins with SLU system entry
52,57,1979-10-01,2016-12-01,1979,10,2016,12,4,Across Caribbean Sea; begins with SVG system entry
52,101,1962-08-01,2016-12-01,1962,08,2016,12,3,Across Gulf of Paria; begins with TRI system entry
52,110,1966-05-01,2016-12-01,1966,05,2016,12,4,Across Atlantic Ocean; begins with GUY system entry
52,115,1975-11-01,2016-12-01,1975,11,2016,12,5,Across Atlantic Ocean; begins with SUR system entry
53,54,1978-11-01,2016-12-01,1978,11,2016,12,5,Across Atlantic Ocean; begins with DMA system entry
53,55,1974-02-01,2016-12-01,1974,02,2016,12,4,Across Atlantic Ocean; begins with GRN system entry
53,56,1979-02-01,2016-12-01,1979,02,2016,12,4,Across Atlantic Ocean; begins with SLU system entry
53,57,1979-10-01,2016-12-01,1979,10,2016,12,4,Across Atlantic Ocean; begins with SVG system entry
53,58,1981-11-01,2016-12-01,1981,11,2016,12,5,Across Atlantic Ocean; begins with AAB system entry
53,101,1966-11-01,2016-12-01,1966,11,2016,12,5,Across Caribbean Sea/Atlantic Ocean; begins with BAR system entry
53,110,1966-11-01,2016-12-01,1966,11,2016,12,5,Across Atlantic Ocean; begins with BAR system entry
54,55,1978-11-01,2016-12-01,1978,11,2016,12,5,Across Caribbean Sea; begins with DMA system entry
54,56,1979-02-01,2016-12-01,1979,02,2016,12,4,Across Caribbean Sea; begins with SLU system entry
54,57,1979-10-01,2016-12-01,1979,10,2016,12,5,Across Caribbean Sea; begins with SVG system entry
54,60,1983-09-01,2016-12-01,1983,09,2016,12,5,Across Caribbean Sea; begins with SKN system entry
54,101,1978-11-01,2016-12-01,1978,11,2016,12,4,Across Caribbean Sea; begins with DMA system entry
55,57,1979-10-01,2016-12-01,1979,10,2016,12,2,Across Caribbean Sea; begins with SVG system entry
55,58,1981-11-01,2016-12-01,1981,11,2016,12,5,Across Caribbean Sea; begins with AAB system entry
55,60,1983-09-01,2016-12-01,1983,09,2016,12,5,Across Caribbean Sea; begins with SKN system entry
55,101,1974-02-01,2016-12-01,1974,02,2016,12,4,Across Caribbean Sea; begins with GRN system entry
55,110,1974-02-01,2016-12-01,1974,02,2016,12,5,Across Atlantic Ocean; begins with GRN system entry
56,57,1979-10-01,2016-12-01,1979,10,2016,12,3,Across Caribbean Sea; begins with SVG system entry
56,58,1981-11-01,2016-12-01,1981,11,2016,12,5,Across Caribbean Sea; begins with AAB system entry
56,60,1983-09-01,2016-12-01,1983,09,2016,12,5,Across Caribbean Sea; begins with SKN system entry
56,101,1979-02-01,2016-12-01,1979,02,2016,12,5,Across Caribbean Sea; begins with SLU system entry
56,110,1979-02-01,2016-12-01,1979,02,2016,12,5,Across Atlantic Ocean; begins with SLU system entry
57,58,1981-11-01,2016-12-01,1981,11,2016,12,5,Across Caribbean Sea; begins with AAB system entry
57,60,1983-09-01,2016-12-01,1983,09,2016,12,5,Across Caribbean Sea; begins with SKN system entry
57,101,1979-10-01,2016-12-01,1979,10,2016,12,4,Across Caribbean Sea; begins with SVG system entry
57,110,1979-10-01,2016-12-01,1979,10,2016,12,5,Across Atlantic Ocean; begins with SVG system entry
58,60,1983-09-01,2016-12-01,1983,09,2016,12,3,Across Caribbean Sea; begins with SKN system entry
58,101,1981-11-01,2016-12-01,1981,11,2016,12,4,Across Caribbean Sea; begins with AAB system entry
60,101,1983-09-01,2016-12-01,1983,09,2016,12,4,Across Caribbean Sea; begins with SKN system entry
70,80,1981-09-01,2016-12-01,1981,09,2016,12,1,Begins with BLZ system entry
70,90,1868-01-01,2016-12-01,1868,01,2016,12,1,Begins with GUA system entry
70,91,1899-01-01,2016-12-01,1899,01,2016,12,5,Across Caribbean Sea; begins with HON system entry
80,90,1981-09-01,2016-12-01,1981,09,2016,12,1,Begins with BLZ system entry
80,91,1981-09-01,2016-12-01,1981,09,2016,12,4,Across Gulf of Honduras; begins with BLZ system entry
90,91,1899-01-01,2016-12-01,1899,01,2016,12,1,Begins with HON system entry
90,92,1875-01-01,2016-12-01,1875,01,2016,12,1,Begins with SAL system entry
90,93,1900-01-01,2016-12-01,1900,01,2016,12,5,Across edge of Pacific Ocean; begins with NIC system entry
90,94,1920-01-01,2016-12-01,1920,01,2016,12,5,Across edge of Pacific Ocean; begins with COS system entry
91,92,1899-01-01,2016-12-01,1899,01,2016,12,1,Begins with HON system entry
91,93,1900-01-01,2016-12-01,1900,01,2016,12,1,Begins with NIC system entry
92,93,1900-01-01,2016-12-01,1900,01,2016,12,3,Across Gulf of Fonseca; begins with NIC system entry
92,94,1920-01-01,2016-12-01,1920,01,2016,12,5,Across edge of Pacific Ocean; begins with COS system entry
93,94,1920-01-01,2016-12-01,1920,01,2016,12,1,Begins with COS system entry
93,95,1920-01-01,2016-12-01,1920,01,2016,12,5,Across Caribbean Sea; begins with PAN system entry
93,100,1900-01-01,1903-11-01,1900,01,1903,11,5,Across Caribbean Sea; begins with NIC system entry; ends with PAN secession from COL
93,100,1928-03-01,2016-12-01,1928,03,2016,12,4,Across Caribbean Sea; begins when San Andres & Providencia islands join COL
94,95,1920-01-01,2016-12-01,1920,01,2016,12,1,Begins with COS and PAN system entry
94,100,1928-03-01,2016-12-01,1928,03,2016,12,4,Across Caribbean Sea; begins when San Andres & Providencia islands join COL
95,100,1920-01-01,2016-12-01,1920,01,2016,12,1,Begins with PAN system entry
100,101,1841-01-01,2016-12-01,1841,01,2016,12,1,Begins with VEN system entry
100,130,1854-01-01,2016-12-01,1854,01,2016,12,1,Begins with ECU system entry
100,135,1916-07-01,2016-12-01,1916,07,2016,12,1,Begins with ECU-COL treaty that cedes ECU territory along PER to COL
100,140,1831-01-01,2016-12-01,1831,01,2016,12,1,Begins with COL system entry
101,110,1966-05-01,2016-12-01,1966,05,2016,12,1,Begins with GUY system entry
101,140,1841-01-01,2016-12-01,1841,01,2016,12,1,Begins with VEN system entry
110,115,1975-11-01,2016-12-01,1975,11,2016,12,1,Begins with SUR system entry
110,140,1966-05-01,2016-12-01,1966,05,2016,12,1,Begins with GUY system entry
115,140,1975-11-01,2016-12-01,1975,11,2016,12,1,Begins with SUR system entry
130,135,1854-01-01,2016-12-01,1854,01,2016,12,1,Begins with ECU system entry
130,140,1854-01-01,1916-07-01,1854,01,1916,07,1,Begins with ECU system entry; ends with ECU-COL treaty that cedes ECU territory along BRA to COL
135,140,1839-01-01,2016-12-01,1839,01,2016,12,1,Begins with PER system entry
