StateID,StartDate,EndDate,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay
2,1816-01-01,,1816,1,1,2016,12,31
20,1920-01-10,,1920,1,10,2016,12,31
31,1973-07-10,,1973,7,10,2016,12,31
40,1902-05-20,1906-09-25,1902,5,20,1906,9,25
40,1909-01-23,,1909,1,23,2016,12,31
41,1859-01-01,1915-07-28,1859,1,1,1915,7,28
41,1934-08-15,,1934,8,15,2016,12,31
42,1894-01-01,1916-11-29,1894,1,1,1916,11,29
42,1924-09-29,,1924,9,29,2016,12,31
51,1962-08-06,,1962,8,6,2016,12,31
52,1962-08-31,,1962,8,31,2016,12,31
53,1966-11-30,,1966,11,30,2016,12,31
54,1978-11-03,,1978,11,3,2016,12,31
55,1974-02-07,,1974,2,7,2016,12,31
56,1979-02-22,,1979,2,22,2016,12,31
57,1979-10-27,,1979,10,27,2016,12,31
58,1981-11-01,,1981,11,1,2016,12,31
60,1983-09-19,,1983,9,19,2016,12,31
70,1831-01-01,,1831,1,1,2016,12,31
80,1981-09-21,,1981,9,21,2016,12,31
90,1868-01-01,,1868,1,1,2016,12,31
91,1899-01-01,,1899,1,1,2016,12,31
92,1875-01-01,,1875,1,1,2016,12,31
93,1900-01-01,,1900,1,1,2016,12,31
94,1920-01-01,,1920,1,1,2016,12,31
95,1903-11-03,,1903,11,3,2016,12,31
100,1831-01-01,,1831,1,1,2016,12,31
101,1841-01-01,,1841,1,1,2016,12,31
110,1966-05-26,,1966,5,26,2016,12,31
115,1975-11-25,,1975,11,25,2016,12,31
130,1854-01-01,,1854,1,1,2016,12,31
135,1839-01-01,,1839,1,1,2016,12,31
140,1822-09-07,,1822,9,7,2016,12,31
145,1848-01-01,,1848,1,1,2016,12,31
150,1846-01-01,1870-06-20,1846,1,1,1870,6,20
150,1876-06-22,,1876,6,22,2016,12,31
155,1839-01-01,,1839,1,1,2016,12,31
160,1841-01-01,,1841,1,1,2016,12,31
165,1882-01-01,,1882,1,1,2016,12,31
200,1816-01-01,,1816,1,1,2016,12,31
205,1922-12-06,,1922,12,6,2016,12,31
210,1816-01-01,1940-07-14,1816,1,1,1940,7,14
210,1945-06-26,,1945,6,26,2016,12,31
211,1830-12-20,1940-05-28,1830,12,20,1940,5,28
211,1945-06-26,,1945,6,26,2016,12,31
212,1920-11-15,1940-05-10,1920,11,15,1940,5,10
212,1944-09-10,,1944,9,10,2016,12,31
220,1816-01-01,1942-11-11,1816,1,1,1942,11,11
220,1944-08-25,,1944,8,25,2016,12,31
221,1993-05-28,,1993,5,28,2016,12,31
223,1990-09-18,,1990,9,18,2016,12,31
225,1816-01-01,,1816,1,1,2016,12,31
230,1816-01-01,,1816,1,1,2016,12,31
232,1993-07-28,,1993,7,28,2016,12,31
235,1816-01-01,,1816,1,1,2016,12,31
240,1837-06-20,1866-07-26,1837,6,20,1866,7,26
245,1816-01-01,1871-01-18,1816,1,1,1871,1,18
255,1816-01-01,1945-05-08,1816,1,1,1945,5,8
255,1990-10-03,,1990,10,3,2016,12,31
260,1955-05-05,1990-10-02,1955,5,5,1990,10,2
265,1954-03-25,1990-10-02,1954,3,25,1990,10,2
267,1816-01-01,1871-01-18,1816,1,1,1871,1,18
269,1816-01-01,1867-04-17,1816,1,1,1867,4,17
271,1816-01-01,1871-01-18,1816,1,1,1871,1,18
273,1816-01-01,1866-07-26,1816,1,1,1866,7,26
275,1816-01-01,1867-04-17,1816,1,1,1867,4,17
280,1843-01-01,1867-04-17,1843,1,1,1867,4,17
290,1918-11-03,1939-09-27,1918,11,3,1939,9,27
290,1945-06-28,,1945,6,28,2016,12,31
300,1816-01-01,1918-11-12,1816,1,1,1918,11,12
305,1919-09-10,1938-03-13,1919,9,10,1938,3,13
305,1955-07-27,,1955,7,27,2016,12,31
310,1918-11-16,,1918,11,16,2016,12,31
315,1918-10-28,1939-03-15,1918,10,28,1939,3,15
315,1945-05-10,1992-12-31,1945,5,10,1992,12,31
316,1993-01-01,,1993,1,1,2016,12,31
317,1993-01-01,,1993,1,1,2016,12,31
325,1816-01-01,,1816,1,1,2016,12,31
327,1816-01-01,1860-11-05,1816,1,1,1860,11,5
329,1816-01-01,1861-02-13,1816,1,1,1861,2,13
331,1992-03-02,,1992,3,2,2016,12,31
332,1842-01-01,1860-03-15,1842,1,1,1860,3,15
335,1851-01-01,1860-03-15,1851,1,1,1860,3,15
337,1816-01-01,1860-03-15,1816,1,1,1860,3,15
338,1964-09-21,,1964,9,21,2016,12,31
339,1914-01-01,1939-04-07,1914,1,1,1939,4,7
339,1944-11-17,,1944,11,17,2016,12,31
341,2006-06-12,,2006,6,12,2016,12,31
343,1993-04-08,,1993,4,8,2016,12,31
344,1992-01-15,,1992,1,15,2016,12,31
345,1878-07-13,1941-04-20,1878,7,13,1941,4,20
345,1944-10-20,,1944,10,20,2016,12,31
346,1992-04-07,,1992,4,7,2016,12,31
347,2008-02-20,,2008,2,20,2016,12,31
349,1992-01-15,,1992,1,15,2016,12,31
350,1828-01-01,1941-04-23,1828,1,1,1941,4,23
350,1944-10-13,,1944,10,13,2016,12,31
352,1960-08-16,,1960,8,16,2016,12,31
355,1908-10-05,,1908,10,5,2016,12,31
359,1991-12-26,,1991,12,26,2016,12,31
360,1878-07-13,,1878,7,13,2016,12,31
365,1816-01-01,,1816,1,1,2016,12,31
366,1918-02-24,1940-06-16,1918,2,24,1940,6,16
366,1991-09-06,,1991,9,6,2016,12,31
367,1918-11-18,1940-06-16,1918,11,18,1940,6,16
367,1991-09-06,,1991,9,6,2016,12,31
368,1918-02-16,1940-06-15,1918,2,16,1940,6,15
368,1991-09-06,,1991,9,6,2016,12,31
369,1991-12-26,,1991,12,26,2016,12,31
370,1991-12-26,,1991,12,26,2016,12,31
371,1991-12-26,,1991,12,26,2016,12,31
372,1991-12-26,,1991,12,26,2016,12,31
373,1991-12-26,,1991,12,26,2016,12,31
375,1917-12-06,,1917,12,6,2016,12,31
380,1816-01-01,,1816,1,1,2016,12,31
385,1905-06-07,1940-04-30,1905,6,7,1940,4,30
385,1945-05-07,,1945,5,7,2016,12,31
390,1816-01-01,1940-04-09,1816,1,1,1940,4,9
390,1945-05-07,,1945,5,7,2016,12,31
395,1944-06-17,,1944,6,17,2016,12,31
402,1975-07-05,,1975,7,5,2016,12,31
403,1975-07-12,,1975,7,12,2016,12,31
404,1974-09-10,,1974,9,10,2016,12,31
411,1968-10-12,,1968,10,12,2016,12,31
420,1965-02-18,,1965,2,18,2016,12,31
432,1960-06-20,,1960,6,20,2016,12,31
433,1960-08-20,,1960,8,20,2016,12,31
434,1960-08-01,,1960,8,1,2016,12,31
435,1960-11-28,,1960,11,28,2016,12,31
436,1960-10-03,,1960,10,3,2016,12,31
437,1960-08-07,,1960,8,7,2016,12,31
438,1958-10-02,,1958,10,2,2016,12,31
439,1960-08-05,,1960,8,5,2016,12,31
