TerritorialChangeID,Gainer,Loser,TransferDate,TransferDate_Prec,Procedure,TerritoryID,TerritoryArea,TerritoryPopulation,IsWholeTerritory,IsMilConflict,IsIndependence,GainerIsCont,LoserIsCont,IsGainerHomeland,IsLoserHomeland,IsSystemEntry,IsSystemExit
3,160,230,1816-07-01,Month,,160,2093164.0,1970000,1,0,1,,0,1,0,1,0
4,200,790,1816-03-01,Month,3,790,1.0,,0,1,0,0,1,0,1,0,0
5,200,,1816-01-01,Year,3,420,179.0,,0,0,0,0,,0,1,0,0
28,220,200,1817-01-01,Year,3,433,7819.0,100000,1,0,0,0,0,0,0,0,0
29,365,,1817-01-01,Year,1,365,650.0,,0,1,0,1,1,1,1,0,0
30,2,200,1818-10-01,Month,3,20,84240.0,,0,0,0,1,0,1,0,0,0
31,155,230,1818-12-01,Month,,155,464568.0,1656300,1,1,1,,0,1,0,1,0
32,200,2,1818-10-01,Month,3,2,41600.0,,0,0,0,0,1,0,1,0,0
33,200,,1818-06-01,Month,1,750,421200.0,,0,1,0,0,,0,1,0,0
34,200,,1818-01-01,Year,2,438,16.0,,0,0,0,0,,0,1,0,0
35,640,,1818-01-01,Year,3,671,388500.0,,1,1,0,1,,1,1,0,0
36,2,230,1819-02-01,Month,3,40,186488.0,54477,0,0,0,1,0,1,0,0,0
37,100,230,1819-12-01,Month,,100,660760.0,1400000,1,0,1,,0,1,0,1,0
38,220,580,1819-01-01,Year,2,580,1.0,,0,0,0,0,1,0,1,0,0
39,42,230,1821-11-01,Month,,42,48734.0,89000,1,0,1,,0,1,0,,0
40,70,230,1821-03-01,Month,,70,1426757.0,7000000,1,0,1,,0,1,0,1,0
41,100,230,1821-06-01,Month,1,101,1082207.0,800000,1,1,0,1,0,1,0,0,0
42,135,230,1821-07-01,Month,,135,1559891.0,1929300,1,0,1,,0,1,0,,0
43,235,230,1821-11-01,Month,3,165,269810.0,70000,1,0,0,0,0,0,0,0,0
44,100,230,1822-05-01,Month,1,130,550685.0,600000,1,1,0,1,0,1,0,0,0
45,640,,1822-01-01,Year,1,625,229471.0,100000,1,1,0,1,,1,1,0,0
46,140,235,1824-12-01,Month,,140,8259504.0,5306418,1,0,1,,0,1,0,1,0
47,200,,1824-03-01,Month,3,830,583.0,10000,1,0,0,0,1,0,1,0,0
48,200,210,1824-03-01,Month,3,827,1658.0,77756,0,0,0,0,0,0,0,0,0
49,210,200,1824-03-01,Month,3,850,25089.0,93875,0,0,0,0,0,0,0,0,0
50,145,230,1825-08-01,Month,,145,3016000.0,1750000,1,0,1,,0,1,0,1,0
51,200,,1825-12-01,Month,2,9993,48.0,0,1,0,0,0,,0,1,0,0
52,580,220,1825-01-01,Year,1,580,1.0,,0,0,0,1,0,1,0,0,0
53,616,640,1825-01-01,Year,4,616,116348.0,875000,1,0,1,,1,1,0,,0
54,200,,1826-01-01,Year,2,561,200000.0,,0,0,0,0,,0,1,0,0
55,200,775,1826-02-01,Month,1,775,169098.0,1222998,0,1,0,0,1,0,1,0,0
56,200,,1826-06-01,Month,3,821,1.0,,0,0,0,0,,0,1,0,0
57,165,140,1828-12-01,Month,4,165,269810.0,70000,1,1,1,,1,1,0,1,0
58,210,,1828-12-01,Month,1,851,412781.0,200000,1,0,0,0,,0,1,0,0
59,350,640,1828-12-01,Month,4,350,39510.0,637700,1,1,1,,1,1,0,1,0
60,365,630,1828-02-01,Month,3,630,29800.0,,0,1,0,1,1,1,1,0,0
61,200,230,1829-01-01,Year,3,413,2034.0,2300,1,0,0,0,0,0,0,0,0
62,365,640,1829-09-01,Month,3,640,8580.0,,0,1,0,1,1,1,1,0,0
63,365,,1829-01-01,Year,1,365,4680.0,,0,1,0,1,,1,1,0,0
64,211,210,1830-10-01,Month,4,211,27407.0,3533538,1,1,1,,1,1,0,1,0
65,220,640,1830-09-01,Month,1,615,275317.0,73200,0,0,0,0,1,0,1,0,0
66,365,,1830-01-01,Year,1,365,9360.0,,0,1,0,1,,1,1,0,0
67,100,130,1832-12-01,Month,3,130,140976.0,276249,0,0,0,1,1,1,1,0,0
68,200,160,1833-01-01,Month,2,1163,11961.0,20,1,0,0,0,0,0,1,0,0
69,200,,1835-01-01,Year,2,561,1.0,,0,0,0,0,,0,1,0,0
70,7,70,1836-03-01,Month,4,7,1010472.0,38000,1,1,1,,1,1,0,,0
72,135,145,1839-01-01,Month,4,135,1559891.0,1929300,1,1,1,,1,1,0,1,0
73,200,,1839-01-01,Month,2,680,207.0,29730,1,0,0,0,,0,1,0,0
74,200,761,1839-01-01,Year,2,761,3016.0,,0,0,0,0,1,0,1,0,0
75,210,,1839-01-01,Year,3,850,5560.0,20978000,1,1,0,0,,0,1,0,0
76,211,210,1839-04-01,Month,3,210,2416.0,171572,0,0,0,1,1,1,1,0,0
77,211,210,1839-12-01,Month,3,212,4408.0,176493,0,0,0,1,1,1,1,0,0
78,200,,1840-01-01,Month,2,920,268676.0,31907,1,0,0,0,,0,1,0,0
79,235,,1840-01-01,Year,2,540,140000.0,,0,0,0,0,,0,1,0,0
81,220,,1841-03-01,Month,2,581,373.0,6888,0,0,0,0,,0,1,0,0
82,2,200,1842-08-01,Month,3,20,18130.0,,0,0,0,1,0,1,0,0,0
