TerritoryID,StartYear,EndYear,EndingStatus,ReferencedPolityID
3,1816,1867,Became colony of Russia,365
3,1867,1959,Became colony of United States of America,2
3,1959,1993,Became part of United States of America,2
4,1898,1960,Became colony of United States of America,2
4,1960,1993,Became part of United States of America,2
5,1816,1917,Became colony of Denmark,390
5,1917,1993,Became colony of United States of America,2
6,1816,1821,Became part of Viceroyalty of New Spain,1070
6,1821,1898,Became colony of Spain,230
6,1898,1952,Became colony of United States of America,2
7,1816,1836,Became part of Mexico,70
7,1845,1861,Became part of United States of America,2
7,1861,1865,Became part of Confederate States of America,1002
7,1865,1993,Became part of United States of America,2
10,1816,1953,Became colony of Denmark,390
10,1941,1945,Occupied by United States of America,2
11,1816,1947,Became colony of Denmark,390
11,1940,1945,Occupied by United Kingdom,200
20,1816,1841,Became part of Quebec (Lower Canada),1025
20,1841,1919,Became colony of United Kingdom,200
21,1816,1920,Became colony of United Kingdom,200
21,1933,1949,Became colony of United Kingdom,200
21,1949,1993,Became part of Canada,20
30,1816,1993,Became colony of United Kingdom,200
31,1816,1973,Became colony of United Kingdom,200
40,1816,1821,Became part of Viceroyalty of New Spain,1070
40,1816,1898,Became colony of Spain,230
40,1898,1902,Occupied by United States of America,2
40,1906,1909,Occupied by United States of America,2
41,1915,1934,Occupied by United States of America,2
42,1816,1821,Became colony of Spain,230
42,1816,1821,Became part of Viceroyalty of New Spain,1070
42,1822,1844,Occupied by Haiti,41
42,1861,1865,Became colony of Spain,230
42,1916,1925,Occupied by United States of America,2
42,1965,1966,Occupied by United States of America,2
50,1816,1958,Became part of St. Lucia,56
50,1816,1958,Became part of Grenada,55
50,1816,1958,Became part of Montserrat,59
50,1816,1958,Became part of St. Kitts and Nevis,60
50,1816,1958,Became part of Trinidad and Tobago,52
50,1816,1958,Became part of Antigua & Barbuda,58
50,1816,1958,Became part of Jamaica,51
50,1816,1958,Became part of Dominica,54
50,1816,1958,Became part of St. Vincent and the Grenadines,57
50,1816,1958,Became part of Barbados,53
50,1962,1993,Became part of Jamaica,51
50,1962,1993,Became part of Montserrat,59
50,1962,1993,Became part of Antigua & Barbuda,58
50,1962,1993,Became part of St. Vincent and the Grenadines,57
50,1962,1993,Became part of St. Lucia,56
50,1962,1993,Became part of Grenada,55
50,1962,1993,Became part of Dominica,54
50,1962,1993,Became part of Barbados,53
50,1962,1993,Became part of Trinidad and Tobago,52
50,1962,1993,Became part of St. Kitts and Nevis,60
51,1816,1958,Became colony of United Kingdom,200
51,1958,1962,Became part of West Indies Federation,50
52,1816,1958,Became colony of United Kingdom,200
52,1958,1962,Became part of West Indies Federation,50
53,1816,1958,Became colony of United Kingdom,200
53,1958,1962,Became part of West Indies Federation,50
53,1962,1966,Became colony of United Kingdom,200
54,1816,1871,Became colony of United Kingdom,200
54,1871,1940,Became part of Leeward Is.,1063
