WarID,WarShortName,WarLongName,WarType,WarTypeName,IsIntervention,IsInternational
1,Franco-Spanish War,Franco-Spanish War of 1823,1,Inter-State War,,
4,First Russo-Turkish,First Russo-Turkish War of 1828-1829,1,Inter-State War,,
7,Mexican-American,Mexican-American War of 1846-1847,1,Inter-State War,,
10,Austro-Sardinian,Austro-Sardinian War of 1848-1849,1,Inter-State War,,
13,First Schleswig-Holstein,First Schleswig-Holstein War of 1848-1849,1,Inter-State War,,
16,Roman Republic,War of the Roman Republic of 1849,1,Inter-State War,,
19,La Plata,La Plata War of 1851-1852,1,Inter-State War,,
22,Crimean,Crimean War of 1853-1856,1,Inter-State War,,
25,Anglo-Persian,Anglo-Persian War of 1856-1857,1,Inter-State War,,
28,Italian Unification,War of Italian Unification of 1859,1,Inter-State War,,
31,First Spanish-Moroccan,First Spanish-Moroccan War of 1859-1860,1,Inter-State War,,
34,Italian-Roman,Italian-Roman War of 1860,1,Inter-State War,,
37,Neapolitan,Neapolitan War of 1860-1861,1,Inter-State War,,
40,Franco-Mexican,Franco-Mexican War of 1862-1867,1,Inter-State War,,
43,Ecuadorian-Colombian,Ecuadorian-Columbian War of 1863,1,Inter-State War,,
46,Second Schleswig-Holstein,Second Schleswig-Holstein War of 1864,1,Inter-State War,,
49,Lopez,Lopez War of 1864-1870,1,Inter-State War,,
52,Naval War,Naval War of 1865-1866,1,Inter-State War,,
55,Seven Weeks,Seven Weeks War of 1866,1,Inter-State War,,
58,Franco-Prussian,Franco-Prussian War of 1870-1871,1,Inter-State War,,
60,First Central American,First Central American War of 1876,1,Inter-State War,,
61,Second Russo-Turkish,Second Russo-Turkish War of 1877-1878,1,Inter-State War,,
64,War of the Pacific,War of the Pacific of 1879-1883,1,Inter-State War,,
65,Conquest of Egypt,Conquest of Egypt of 1882,1,Inter-State War,,
67,Sino-French,Sino-French War of 1884-1885,1,Inter-State War,,
70,Second Central American,Second Central American War of 1885,1,Inter-State War,,
73,First Sino-Japanese,First Sino-Japanese War of 1894-1895,1,Inter-State War,,
76,Greco-Turkish,Greco-Turkish War of 1897,1,Inter-State War,,
79,Spanish-American,Spanish-American War of 1898,1,Inter-State War,,
82,Boxer Rebellion,Boxer Rebellion of 1900,1,Inter-State War,,
83,Sino-Russian,Sino-Russian War of 1900,1,Inter-State War,,
85,Russo-Japanese,Russo-Japanese War of 1904-1905,1,Inter-State War,,
88,Third Central American,Third Central American War of 1906,1,Inter-State War,,
91,Fourth Central American,Fourth Central American War of 1907,1,Inter-State War,,
94,Second Spanish-Moroccan,Second Spanish-Moroccan War of 1909-1910,1,Inter-State War,,
97,Italian-Turkish,Italian-Turkish War of 1911-1912,1,Inter-State War,,
100,First Balkan,First Balkan War of 1912-1913,1,Inter-State War,,
103,Second Balkan,Second Balkan War of 1913,1,Inter-State War,,
106,World War I,World War I of 1914-1918,1,Inter-State War,,
107,Estonian Liberation,Estonian War of Liberation of 1918-1920,1,Inter-State War,,
108,Latvian Liberation,Latvian War of Liberation of 1918-1920,1,Inter-State War,,
109,Russo-Polish,Russo-Polish War of 1919-1920,1,Inter-State War,,
112,Hungarian Adversaries,Hungarian Adversaries War of 1919,1,Inter-State War,,
115,Second Greco-Turkish,Second Greco-Turkish War of 1919-1922,1,Inter-State War,,
116,Franco-Turkish,Franco-Turkish War of 1919-1921,1,Inter-State War,,
117,Lithuanian-Polish,Lithuanian-Polish War of 1920,1,Inter-State War,,
118,Manchurian,Manchurian War of 1929,1,Inter-State War,,
121,Second Sino-Japanese,Second Sino-Japanese War of 1931-1933,1,Inter-State War,,
124,Chaco,Chaco War of 1932-1935,1,Inter-State War,,
125,Saudi-Yemeni,Saudi-Yemeni War of 1934,1,Inter-State War,,
127,Conquest of Ethiopia,Conquest of Ethiopia of 1935-1936,1,Inter-State War,,
130,Third Sino-Japanese,Third Sino-Japanese War of 1937-1941,1,Inter-State War,,
133,Changkufeng,Changkufeng War of 1938,1,Inter-State War,,
136,Nomonhan,Nomonhan War of 1939,1,Inter-State War,,
139,World War II,World War II of 1939-1945,1,Inter-State War,,
142,Russo-Finnish,Russo-Finnish War of 1939-1940,1,Inter-State War,,
