year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1816,3239,United States (Florida [ADM1]),Centroid of ADM1,-82.4849,28.6407,4,ArcGIS and GADM,ADM1,,88393,Spanish Florida,center pt of FL,28.0342,-81.5375,3
1817,3321,Bulgaria-Romania Border,Midpoint of shared (national) border,25.4793,43.6402,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,66528,Danube River,"Bucharest, Romania",44.4333,26.1,4
1818,1567,United States (Florida [ADM1]),Centroid of ADM1,-82.4849,28.6407,4,ArcGIS and GADM,ADM1,,88393,Florida,center pt of FL,28.0342,-81.5375,3
1821,142,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,64374,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1821,147,"Rieti, Italy","Rieti, Italy",12.8567,42.4045,1,latlong.net,Precise location text,,68743,"Rieti, Italy (Papal States)",Rieti,42.4,12.85,1
1821,167,Italy (Piedmont [ADM1]),Centroid of ADM1,7.92682,45.061,4,ArcGIS and GADM,ADM1,,64413,Piedmont,"Cuneo, Italy",44.3833,7.53333,3
1821,366,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68079,Franco-Spanish border,"San Sebastien, Spain",43.6333,-7.8,4
1822,89,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68079,,md point FRA-SPN border,42.67,0.61,4
1825,1735,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,1,latlong.net,Precise location text,,82424,"North Africa, Tripoli","Tripoli, Libya",32.8925,13.18,1
1826,64,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,64374,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1826,1622,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,156003,Brazilian waters,"Salvador, Brazil",-12.9833,-38.5167,4
1826,1752,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,156003,Coast of Brazil,Recife,-8.05,-34.9,4
1827,146,Ottoman Empire,Midpoint of coastline,27.06,38.39,5,MIDLOC1.1,Point along a line,,74452,,md point of ottoman coast,38.39,27.06,4
1827,189,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,64374,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1828,367,Egypt,Centroid of ADM0,29.872,26.4943,6,ArcGIS and cShapes,State,Uses 1946 data,91737,"Morea, Egypt",center pt of egypt,26.1758,30.1525,5
1829,1579,"Petra, Greece","Petra, Greece",26.1753,39.3278,1,latlong.net,Precise location text,,73010,Petra Greece,Petra,38.7333,21.65,1
1830,370,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,,md point of border between FRN & GER states,49.018,8.337,4
1831,25,Belgium-Netherlands Border,Midpoint of shared (national) border,5.7297,51.193,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,55757,,md point of NTH-BEL border,51.42,5.279,4
1831,137,"Porto, Portugal","Porto, Portugal",-8.6291,41.1579,1,latlong.net,Precise location text,,70220,"Oporto, Portugal",Porto,41.15,-8.61667,1
1831,501,"Brussels, Belgium","Brussels, Belgium",4.35172,50.8503,8,latlong.net,Capital,,56486,Belgium,Brussels,50.8333,4.33333,5
1831,3138,"Al-Qurnah, Iraq","Al-Qurnah, Iraq",47.4245,31.0175,2,latlong.net,Near,,84492,Mouth of the Tigris river,"Tigris, Israel",31,47.4167,2
1832,368,Belgium-Germany Border,Midpoint of shared (national) border,6.22042,50.6376,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,56490,,md point of BEL-GER border,50.458,6.489,4
1833,153,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,71570,,straits of dardanelles,40.2,26.6,4
1833,1753,"Cartagena, Colombia","Cartagena, Colombia",-75.4794,10.391,1,latlong.net,Precise location text,,114967,Cartagena (Colombia),Cartagena,10.4167,-75.5333,1
1834,1524,Colombia Territorial Waters (Caribbean Mainland),Centroid of territorial waters,-74.1421,11.4789,3,ArcGIS and Marine Regions,Territorial waters,,113529,Off Columbia,"Barranquilla, Colombia",5.15,-73.8833,4
1835,301,Caribbean Sea,Caribbean Sea,-74.9676,14.5401,5,latlong.net,Sea,,108488,Carribean,"Kingston, Jamaica",18,-76.8,5
1836,1554,Argentina (Santa Cruz [ADM1]),Centroid of ADM1,-69.9414,-48.8127,4,ArcGIS and GADM,ADM1,,199942,"Veracruz, Brasos de Santiago",Veracruz,31.4472,-112.358,1
1836,1555,United States (Texas [ADM1]),Centroid of ADM1,-99.358,31.4911,4,ArcGIS and GADM,ADM1,,84839,Texas,"Austin, USA",30.2833,-97.7333,3
1836,1623,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238,8,latlong.net,Capital,,117198,Panama,Panama City,8.96667,-79.5333,5
1837,38,"Navy Island, Niagara","Navy Island, Niagara",-79.0108,43.0578,2,latlong.net,Island,,67519,Niagara River,navy island,43.05,-79.0167,4
1838,160,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,2,latlong.net,Near,,102045,East Coast of Mexico near Veracruz,Veracruz,31.4472,-112.358,4
1838,1553,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,93417,Gulf of Mexico,Center of Gulf,25,-90,5
1838,2013,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05,5,latlong.net,> ADM1,,125075,Pirara region (Brazil),Pirara region,3.05,-61.15,3
1839,15,Canada (New Brunswick [ADM1])-United States (Maine [ADM1]) Border,Midpoint of shared (subnational) border,-67.7833,46.4598,5,ArcGIS and GADM,Point along a line,,63142,Maine-New Brunswick Border,"Fredericton, CAN",45.95,-66.6333,3
1839,1556,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,93417,Gulf of Mexico,Center of Gulf,25,-90,5
1839,1740,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05,5,latlong.net,> ADM1,,125075,Pirara region (Brazil),Pirara region,3.05,-61.15,3
1840,1540,Douro River,Midpoint of river,-7.28269,41.1604,5,ArcGIS and Natural Earth Data,Point along a line,,70223,"Douro river, Portugal",Oporto,41.15,-8.61667,4
1842,371,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1842,2055,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1842,2116,"Monterey, USA","Monterey, USA",-121.895,36.6002,1,latlong.net,Precise location text,,76954,"Monterey, CA, USA","Monterey, ca",36.5817,-121.869,1
1843,1507,Magellan Straits,Magellan Straits,-70.8288,-53.7302,3,latlong.net,Strait,,207140,Magellan Straits,"Magellan, Chile",-54,-71,4
1843,1552,United States (Texas [ADM1]),Centroid of ADM1,-99.358,31.4911,4,ArcGIS and GADM,ADM1,,84839,Texas,"Austin, USA",30.2833,-97.7333,3
1845,123,Argentina,Midpoint of coastline,-63.6589,-42.2343,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,190594,,md point of ARG coast,-36.96,-56.63,4
1845,1625,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1846,373,United States (Oregon [ADM1]),Midpoint of coastline,-124.076,44.7716,5,ArcGIS and GADM,Point along a line,,65429,Pacific Ocean off Oregon,OR coastline,42.7858,-124.667,4
1846,1498,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1846,1586,"Corrientes, Argentina","Corrientes, Argentina",-58.8306,-27.4692,1,latlong.net,Precise location text,,169004,"Parana River, Corrientes","Corrientes, Argentina",-27.4667,-58.8333,4
